Feature,Mouth,Esophagus,Stomach,Duodenum,Jejunum,Ileum,Cecum,Colon,Stool,Blood,Brain,Heart,Pancreas,Liver,Kidney,Lung,Spleen,Vagina,Cervix,Uterus,Ovary,Region,SpectrumID,Compound_Name,Ion_Source,Instrument,Compound_Source,PI,Data_Collector,Adduct,Precursor_MZ,ExactMass,Charge,CAS_Number,Pubmed_ID,Smiles,INCHI,INCHI_AUX,Library_Class,IonMode,UpdateWorkflowName,LibraryQualityString,SpectrumFile,LibraryName,MQScore,Organism,TIC_Query,RT_Query,MZErrorPPM,SharedPeaks,MassDiff,LibMZ,SpecMZ,SpecCharge,FileScanUniqueID,NumberHits,tags,MoleculeExplorerDatasets,MoleculeExplorerFiles,molecular_formula,InChIKey,InChIKey.Planar,superclass,class,subclass,npclassifier_superclass,npclassifier_class,npclassifier_pathway,internalFilename
2285483,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1082903,NA,Yes,NA,Yes,NA,Yes,Yes,NA,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2876117,Yes,NA,NA,NA,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1352424,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,11,CCMSLIB00005464864,"""(R)-4-((3R,5S,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",ESI,qTof,crude,Dorrestein,Emily Gentry,M-2H2O+H,373.274,408.288,1,,,C[C@@H]([C@H]1CC[C@]2([H])[C@]1(C)[C@@H](O)C[C@@]3([H])[C@@]2([H])[C@H](O)C[C@@]4([H])[C@]3(C)CC[C@@H](O)C4)CCC(O)=O,"""InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1""",N/A,1,Positive,UPDATE-SINGLE-ANNOTATED-GOLD,Gold,specs_ms.pklbin,lib-00023.mgf,0.912365,BILELIB19,170921,297.081,5.39593,15,0.00201416,373.274,373.276,0,spectra/specs_ms.pklbin1352424,1,,0,0,C24H40O5,BHQCQFFYRZLCQQ-OELDTZBJSA-N,BHQCQFFYRZLCQQ,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Steroids,Cholane steroids,Terpenoids,specs_ms.pklbin
755797,Yes,Yes,Yes,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,Yes,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2151316,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1352639,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,NA,10,CCMSLIB00005465711,"""(R)-4-((3R,5S,7S,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pent-2-enoic acid""",ESI,qTof,crude,Dorrestein,Emily Gentry,M-H2O+H,373.273,390.277,1,,,C[C@@H]([C@H]1CC[C@]2([H])[C@]1(C)CC[C@@]3([H])[C@@]2([H])[C@@H](O)C[C@@]4([H])[C@]3(C)CC[C@@H](O)C4)/C=C/C(O)=O,"""InChI=1S/C24H38O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h4,7,14-20,22,25-26H,5-6,8-13H2,1-3H3,(H,27,28)/b7-4+/t14-,15+,16-,17-,18+,19+,20+,22+,23+,24-/m1/s1""",N/A,1,Positive,UPDATE-SINGLE-ANNOTATED-GOLD,Gold,specs_ms.pklbin,lib-00023.mgf,0.8477290000000001,BILELIB19,30464.2,298.487,2.61622,15,9.76562e-4,373.273,373.274,0,spectra/specs_ms.pklbin1352639,1,,0,0,C24H38O4,BXUVIKFICAYYEQ-APOROQGKSA-N,BXUVIKFICAYYEQ,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,Steroids,Cholane steroids,Terpenoids,specs_ms.pklbin
1352712,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,10,CCMSLIB00005435975,Cholic acid,LC-ESI,qTof,Commercial,Uwe Karst,Robin Schmid,M-2H2O+H,373.274,408.288,1,81-25-4, ,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCC(O)=O,"InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1",BHQCQFFYRZLCQQ-OELDTZBJSA-N,3,Positive,UPDATE-SINGLE-ANNOTATED-BRONZE,Bronze,specs_ms.pklbin,lib-00042.mgf,0.8762190000000001,GNPS-LIBRARY,36008.9,304.505,0,16,0,373.274,373.274,0,spectra/specs_ms.pklbin1352712,1,,132,10171,C24H40O5,BHQCQFFYRZLCQQ-OELDTZBJSA-N,BHQCQFFYRZLCQQ,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Steroids,Cholane steroids,Terpenoids,specs_ms.pklbin
1686194,NA,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2301850,NA,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,NA,Yes,Yes,NA,NA,NA,Yes,NA,Yes,NA,NA,Yes,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
