CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation
2478741	2478762	0.000	2478741	0.8997	2478741.0	1	 
2478747	2478758	0.000	2478747	0.9048	2478747.0	1	 
2478755	2478776	0.000	2478755	0.931	2478755.0	1	 
2478741	2478791	0.000	2478741	0.8846	2478741.0	1	 
2478791	2479202	-0.002	2478791	0.8339	2478791.0	1	 
2478747	2478826	0.000	2478747	0.8462	2478747.0	1	 
2478752	2478802	-0.001	2478752	0.854	2478752.0	1	 
2478748	2478755	0.000	2478748	0.8842	2478748.0	1	 
2478741	2479202	-0.002	2478741	0.8831	2478741.0	1	 
2478747	2478762	0.001	2478747	0.8718	2478747.0	1	 
2478807	2478881	-0.001	2478807	0.8746	2478807.0	1	 
2478748	2478947	-0.001	2478748	0.8475	2478748.0	1	 
2478857	2478883	-0.001	2478857	0.8087	2478857.0	1	 
2478776	2478947	-0.001	2478776	0.8772	2478776.0	1	 
2478739	2478752	0.002	2478739	0.8767	2478739.0	1	 
2478737	2478747	0.000	2478737	0.9089	2478737.0	1	 
2478755	2478939	-0.001	2478755	0.8932	2478755.0	1	 
2478755	2478791	0.000	2478755	0.8867	2478755.0	1	 
2478747	2478748	0.001	2478747	0.8849	2478747.0	1	 
2478878	2478939	-0.001	2478878	0.8302	2478878.0	1	 
2478748	2478758	-0.001	2478748	0.8398	2478748.0	1	 
2478758	2478808	0.001	2478758	0.8476	2478758.0	1	 
2478748	2478878	0.000	2478748	0.8292	2478748.0	1	 
2478752	2478881	-0.002	2478752	0.801	2478752.0	1	 
2478791	2478878	0.000	2478791	0.8323	2478791.0	1	 
2478747	2478808	0.001	2478747	0.8552	2478747.0	1	 
2478762	2478776	0.000	2478762	0.9005	2478762.0	1	 
2478826	2479074	0.000	2478826	0.8009	2478826.0	1	 
2478907	2479074	0.000	2478907	0.8155	2478907.0	1	 
2478737	2478947	0.000	2478737	0.9034	2478737.0	1	 
2478747	2478878	0.001	2478747	0.8703	2478747.0	1	 
2478791	2478939	-0.001	2478791	0.8424	2478791.0	1	 
2478748	2478762	0.000	2478748	0.8545	2478748.0	1	 
2478739	2478802	0.001	2478739	0.8888	2478739.0	1	 
