id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
1_Fetures_interest_MSV000079949_SIRIUS_fix_100199	C11H20N3	[M + H]+	Alkaloids	0.998047352	Pseudoalkaloids	0.734861135	Phenylalanine-derived alkaloids	0.860305488	Aralkylamines	0.784662664	Aralkylamines	0.784662664	Amines	0.540207565	Organonitrogen compounds	0.999999523	Organic nitrogen compounds	1	Organic compounds; Organonitrogen compounds; Benzene and substituted derivatives; Benzenoids; Amines; Carboximidamides; Aralkylamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
100_Fetures_interest_MSV000079949_SIRIUS_fix_1091501	C22H43NO	[M + H]+	Fatty acids	0.982320905	Fatty amides	0.956056595	Primary amides	0.774590373	Fatty amides	0.856864095			Fatty amides	0.856864095	Fatty Acyls	0.946245015	Lipids and lipid-like molecules	0.936023831	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1001_Fetures_interest_MSV000079949_SIRIUS_fix_2074964	C32H42O3	[M + K]+	Terpenoids	0.998669982	Steroids	0.977877557	Cholestane steroids	0.728881776	"Bile acids, alcohols and derivatives"	0.523381829			"Bile acids, alcohols and derivatives"	0.523381829	Steroids and steroid derivatives	0.974839151	Lipids and lipid-like molecules	0.998827875	"Organic compounds; Lipids and lipid-like molecules; Ketones; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Oxosteroids; Carboxylic acids; Carboxylic acid esters; Bile acids, alcohols and derivatives; Carbonyl compounds; 3-oxo delta-4-steroids; Delta-4-steroids; 3-oxosteroids; Cyclic ketones; Organic oxides; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities"
1002_Fetures_interest_MSV000079949_SIRIUS_fix_2075144	C26H50O7	[M + K]+	Fatty acids	0.991216302	Glycerolipids	0.957521319	Monoacylglycerols	0.839423239	Monoradylglycerols	0.757780015			Monoradylglycerols	0.757780015	Glycerolipids	0.975046873	Lipids and lipid-like molecules	0.997393608	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Monoradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1003_Fetures_interest_MSV000079949_SIRIUS_fix_2075174	C31H44O6	[M + H]+	Fatty acids	0.97971046	Glycerolipids	0.862470031	Triacylglycerols	0.587416291	"1,2-diacylglycerols"	0.801034868	Diacylglycerols	0.732781708	Diradylglycerols	0.607241809	Glycerolipids	0.992444098	Lipids and lipid-like molecules	0.993121564	"Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Diacylglycerols; Carboxylic acid esters; 1,2-diacylglycerols; Carbonyl compounds; Tricarboxylic acids and derivatives; Benzene and substituted derivatives; Alpha,beta-unsaturated carboxylic esters; Diradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
1004_Fetures_interest_MSV000079949_SIRIUS_fix_2075180	C31H44O6	[M + H]+	Shikimates and Phenylpropanoids	0.858817399	Glycerolipids	0.475232482	Diacylglycerols	0.611555159	Benzoic acid esters	0.542187035	Benzoic acid esters	0.542187035	Benzoic acids and derivatives	0.485697627	Benzene and substituted derivatives	0.883516252	Benzenoids	0.88406837	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Benzoyl derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Toluenes; Carboxylic acid derivatives; Diacylglycerols; Carboxylic acid esters; Benzoic acid esters; 1,2-diacylglycerols; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 1,2-diols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
1005_Fetures_interest_MSV000079949_SIRIUS_fix_2077067	C32H64O4	[M + H]+	Fatty acids	0.999764383	Glycerolipids	0.92123425	Diacylglycerols	0.944783926	"1,2-diacylglycerols"	0.876568019	Diacylglycerols	0.91929841	Diradylglycerols	0.939411163	Glycerolipids	0.804654717	Lipids and lipid-like molecules	0.997421503	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Diacylglycerols; Carboxylic acid esters; 1,2-diacylglycerols; Carbonyl compounds; Diradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
1006_Fetures_interest_MSV000079949_SIRIUS_fix_2077335	C26H45NO5P2	[M + H]+	Terpenoids	0.978532851	Steroids	0.978433132	Cholane steroids	0.824609458	"Bile acids, alcohols and derivatives"	0.623042524			"Bile acids, alcohols and derivatives"	0.623042524	Steroids and steroid derivatives	0.990747452	Lipids and lipid-like molecules	0.999933958	"Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Organophosphorus compounds; Organic phosphonic acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Organic phosphonic acids; Bile acids, alcohols and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1007_Fetures_interest_MSV000079949_SIRIUS_fix_2077348	C26H45NO5P2	[M + H]+	Terpenoids	0.964241147	Steroids	0.959042966	Cholane steroids	0.822683573	"Bile acids, alcohols and derivatives"	0.534877717			"Bile acids, alcohols and derivatives"	0.534877717	Steroids and steroid derivatives	0.991032541	Lipids and lipid-like molecules	0.999758422	"Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Organophosphorus compounds; Organic phosphonic acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Organic phosphonic acids; Bile acids, alcohols and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1008_Fetures_interest_MSV000079949_SIRIUS_fix_2077364	C26H45NO5P2	[M + H]+	Terpenoids	0.977749884	Steroids	0.964649439	Cholane steroids	0.774216652	"Bile acids, alcohols and derivatives"	0.677007556			"Bile acids, alcohols and derivatives"	0.677007556	Steroids and steroid derivatives	0.98899734	Lipids and lipid-like molecules	0.999881029	"Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Organophosphorus compounds; Organic phosphonic acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Oxosteroids; Organic phosphonic acids; Bile acids, alcohols and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1009_Fetures_interest_MSV000079949_SIRIUS_fix_2077387	C26H45NO5P2	[M + H]+	Terpenoids	0.985417485	Steroids	0.993484437	Cholane steroids	0.781806886	"Bile acids, alcohols and derivatives"	0.836664081			"Bile acids, alcohols and derivatives"	0.836664081	Steroids and steroid derivatives	0.996135116	Lipids and lipid-like molecules	0.999946356	"Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Organophosphorus compounds; Organic phosphonic acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Organic phosphonic acids; Bile acids, alcohols and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
101_Fetures_interest_MSV000079949_SIRIUS_fix_1092692	C22H43NO	[M + H]+	Fatty acids	0.974262893	Fatty amides	0.905680776	N-acyl amines	0.514602423	Fatty amides	0.632050514			Fatty amides	0.632050514	Fatty Acyls	0.573260903	Lipids and lipid-like molecules	0.600249827	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1011_Fetures_interest_MSV000079949_SIRIUS_fix_207980	C10H21NS2	[M + H]+	Fatty acids	0.454616696	Fatty Acids and Conjugates	0.261247545	Polyamines	0.409565479	Dialkylamines	0.610398889	Secondary amines	0.649608314	Amines	0.498556495	Organonitrogen compounds	0.9996593	Organic nitrogen compounds	0.999325633	"Organic compounds; Organosulfur compounds; Organonitrogen compounds; Thioethers; Dialkylamines; Secondary amines; Sulfenyl compounds; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Dialkylthioethers; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"
1013_Fetures_interest_MSV000079949_SIRIUS_fix_2091912	C29H54O7	[M + H]+	Fatty acids	0.608333051	Linear polyketides	0.244989187	Colensane and Clerodane diterpenoids	0.446776152	Fatty acid esters	0.966622472			Fatty acid esters	0.966622472	Fatty Acyls	0.989471555	Lipids and lipid-like molecules	0.988241494	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1014_Fetures_interest_MSV000079949_SIRIUS_fix_2092228	C27H52N3O6	[M + H]+	Amino acids and Peptides	0.779103637	Oligopeptides	0.563979864	Cyclic peptides	0.439892441	Depsipeptides	0.513050318			Depsipeptides	0.513050318	Peptidomimetics	0.238472611	Organic acids and derivatives	0.99639219	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Depsipeptides; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1015_Fetures_interest_MSV000079949_SIRIUS_fix_209756	C11H12N2O3	[M + H]+	Amino acids and Peptides	0.991312921	Small peptides	0.988796353	Aminoacids	0.979899049	L-alpha-amino acids	0.664832771	Amino acids and derivatives	0.999861002	"Amino acids, peptides, and analogues"	0.99984777	Carboxylic acids and derivatives	0.999540329	Organic acids and derivatives	0.999978542	"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Ketones; Tryptamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Beta-amino ketones; Aniline and substituted anilines; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Butyrophenones; Keto acids and derivatives; Monoalkylamines; Gamma-keto acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Substituted pyrroles; Benzene and substituted derivatives; Alpha amino acids; Benzenoids; Amines; Primary amines; Aryl ketones; Aryl alkyl ketones; Vinylogous amides; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Phenylketones; Alkyl-phenylketones; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1016_Fetures_interest_MSV000079949_SIRIUS_fix_209878	C4H16N5O4	[M + Na]+	Amino acids and Peptides	0.689827442	Small peptides	0.602646887	Aminoacids	0.605846286	Alpha amino acids	0.639385283	Amino acids and derivatives	0.82883358	"Amino acids, peptides, and analogues"	0.850044668	Carboxylic acids and derivatives	0.509860039	Organic acids and derivatives	0.667163372	"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Nitramines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1017_Fetures_interest_MSV000079949_SIRIUS_fix_209879	C7H16N4O2S	[M + H]+	Amino acids and Peptides	0.402754933	Small peptides	0.777009368	Aminoacids	0.743620872	Azacyclic compounds	0.836598992					Azacyclic compounds	0.836598992	Organoheterocyclic compounds	0.938338816	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organonitrogen compounds; Thioethers; Dialkylthioethers; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1018_Fetures_interest_MSV000079949_SIRIUS_fix_210054	C10H21OPS	[M + H]+	Fatty acids	0.787456632	Fatty acyls	0.823838651	Hydrocarbons	0.597123623	Benzene and substituted derivatives	0.993316114					Benzene and substituted derivatives	0.993316114	Benzenoids	0.981577456	Organic compounds; Organosulfur compounds; Organophosphorus compounds; Organothiophosphorus compounds; Benzene and substituted derivatives; Benzenoids; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities
