Feature,Interest_2425,SpectrumID,Compound_Name,Adduct,Precursor_MZ,Smiles,INCHI,LibraryQualityString,MQScore,MZErrorPPM,SharedPeaks,MassDiff,LibMZ,SpecMZ,molecular_formula,superclass,class,subclass,npclassifier_superclass,npclassifier_class,npclassifier_pathway
1017346,Yes,CCMSLIB00000849055,"NCGC00186665-03!2,3-dihydroxypropyl hexadecanoate",M+H,331.284,CCCCCCCCCCCCCCCC(=O)OCC(O)CO,"InChI=1S/C19H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(22)23-17-18(21)16-20/h18,20-21H,2-17H2,1H3",Gold,0.842751,3.03993,12,0.00100708,331.284,331.285,C19H38O4,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,Glycerolipids,Monoacylglycerols,Fatty acids
1350817,Yes,CCMSLIB00000849466,"NCGC00385377-01_C19H32O7_4-(2,6,6-Trimethyl-4-oxo-2-cyclohexen-1-yl)-2-butanyl beta-D-glucopyranoside",M+H,373.222,CC(CCC1\C(=C/C(=O)CC1(C)C)C)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O,"InChI=1S/C19H32O7/c1-10-7-12(21)8-19(3,4)13(10)6-5-11(2)25-18-17(24)16(23)15(22)14(9-20)26-18/h7,11,13-18,20,22-24H,5-6,8-9H2,1-4H3/t11?,13?,14-,15-,16+,17-,18-/m1/s1",Gold,0.767176,0,7,0,373.222,373.222,C19H32O7,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,Apocarotenoids,Apocarotenoids(ε-),Terpenoids
1061256,Yes,CCMSLIB00001058283,Eicosanoids_11-HEPE_C20H30O3,M+NH4,336.253,CC/C=C\C/C=C\C=C\C(O)C/C=C\C/C=C\CCCC(=O)O,"InChI=1S/C20H30O3/c1-2-3-4-5-7-10-13-16-19(21)17-14-11-8-6-9-12-15-18-20(22)23/h3-4,6-7,9-11,13-14,16,19,21H,2,5,8,12,15,17-18H2,1H3,(H,22,23)/b4-3-,9-6-,10-7-,14-11-,16-13+",Gold,0.891531,0,8,0,336.253,336.253,C20H30O3,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Eicosanoids,Hydroxy-hydroperoxyeicosapentaenoic acids,Fatty acids
1783464,Yes,CCMSLIB00001059244,Soyaspongenol C,M+H,441.373, , ,Bronze,0.712391,2.21256,15,9.77E-04,441.373,441.372,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1783467,Yes,CCMSLIB00001059244,Soyaspongenol C,M+H,441.373, , ,Bronze,0.749833,2.21256,14,9.77E-04,441.373,441.372,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1783474,Yes,CCMSLIB00001059244,Soyaspongenol C,M+H,441.373, , ,Bronze,0.73265,2.2817,17,0.00100708,441.373,441.374,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1783478,Yes,CCMSLIB00001059244,Soyaspongenol C,M+H,441.373, , ,Bronze,0.754052,2.2817,11,0.00100708,441.373,441.374,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1783495,Yes,CCMSLIB00001059244,Soyaspongenol C,M+H,441.373, , ,Bronze,0.749889,0,17,0,441.373,441.373,N/A,N/A,N/A,N/A,N/A,N/A,N/A
123084,Yes,CCMSLIB00003134676,Spectral Match to L-Tryptophan from NIST14,M+H,205.099,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",Bronze,0.789266,19.4921,5,0.0039978,205.099,205.095,C11H12N2O2,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Small peptides,Aminoacids,Amino acids and Peptides|Shikimates and Phenylpropanoids
639668,Yes,CCMSLIB00003134768,Spectral Match to Pinolenic acid from NIST14,M+H,279.232,CCCCC/C=C\C/C=C\CC/C=C\CCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,13-14H,2-5,8,11-12,15-17H2,1H3,(H,19,20)/b7-6-,10-9-,14-13-",Bronze,0.768125,3.60661,5,0.00100708,279.232,279.233,C18H30O2,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Fatty Acids and Conjugates,Unsaturated fatty acids,Fatty acids
639451,Yes,CCMSLIB00003134774,Spectral Match to Pinolenic acid from NIST14,M+H,279.232,CCCCC/C=C\C/C=C\CC/C=C\CCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,13-14H,2-5,8,11-12,15-17H2,1H3,(H,19,20)/b7-6-,10-9-,14-13-",Bronze,0.751159,0,5,0,279.232,279.232,C18H30O2,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Fatty Acids and Conjugates,Unsaturated fatty acids,Fatty acids
54033,Yes,CCMSLIB00003134840,Spectral Match to L-Tryptophan from NIST14,M+H-NH3,188.071,N/A,N/A,Bronze,0.737455,5.27365,5,9.92E-04,188.071,188.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A
