Feature,Interest_2425,Compound_Name,Adduct,Precursor_MZ,ExactMass,LibraryQualityString,NPC_Class,NPC_Pathway,ClassyFire_Class
100199,Yes,NA,NA,NA,NA,NA,Phenylalanine-derived alkaloids,Alkaloids,Aralkylamines
100206,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Organonitrogen compounds
100215,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Dialkylthioethers
100235,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Sulfenyl compounds
100238,Yes,NA,NA,NA,NA,NA,Catechols with side chains,Terpenoids,Organooxygen compounds
100246,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Dialkylthioethers
100301,Yes,NA,NA,NA,NA,NA,NA,NA,NA
100312,Yes,NA,NA,NA,NA,NA,NA,NA,NA
100367,Yes,NA,NA,NA,NA,NA,NA,NA,NA
100392,Yes,NA,NA,NA,NA,NA,NA,NA,NA
100415,Yes,NA,NA,NA,NA,NA,NA,NA,NA
100477,Yes,NA,NA,NA,NA,NA,NA,NA,NA
100483,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1004911,Yes,Docosahexaenoic acid - 40.0 eV,M+H,329.248,0,Gold,Androstane steroids,Terpenoids,Lipids and lipid-like molecules
1004975,Yes,NA,NA,NA,NA,NA,Fatty alcohols,Fatty acids,Fatty Acyls
1004988,Yes,Docosahexaenoic acid - 40.0 eV,M+H,329.248,0,Gold,Unsaturated fatty acids,Fatty acids,Fatty acids and conjugates
1005004,Yes,NA,NA,NA,NA,NA,Pregnane steroids,Terpenoids,Lipids and lipid-like molecules
1005005,Yes,NA,NA,NA,NA,NA,Branched fatty acids,Fatty acids,Fatty acid esters
100504,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1005052,Yes,Docosahexaenoic acid - 40.0 eV,M+H,329.248,0,Gold,Pregnane steroids,Terpenoids,Hydroxysteroids
1005136,Yes,NA,NA,NA,NA,NA,Other Docosanoids,Fatty acids,Unsaturated fatty acids
1005164,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Straight chain fatty acids
1005260,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Very long-chain fatty acids
100528,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Thioureas
100543,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Sulfenyl compounds
100669,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1008584,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,"1,3,5-triazines"
100906,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Organonitrogen compounds
100942,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Organonitrogen compounds
1009431,Yes,NA,NA,NA,NA,NA,Purine alkaloids,Amino acids and Peptides,Alpha amino acids and derivatives
1009660,Yes,NA,NA,NA,NA,NA,Dipeptides,Amino acids and Peptides,Peptides
101022,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Organonitrogen compounds
101068,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,S-alkyl thiosulfates
1010995,Yes,NA,NA,NA,NA,NA,Purine alkaloids,Alkaloids,6-aminopurines
101103,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Primary amines
1016517,Yes,NA,NA,NA,NA,NA,Other Eicosanoids,Fatty acids,Prenol lipids
1016667,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Alkylarylthioethers
1016778,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Straight chain fatty acids
1017306,Yes,"NCGC00186665-03!2,3-dihydroxypropyl hexadecanoate [IIN-based on: CCMSLIB00000849057]",[M+H]+,331.283,330.276,Bronze,Monoacylglycerols,Fatty acids,1-monoacylglycerols
1017336,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,1-monoacylglycerols
1017346,Yes,"NCGC00186665-03!2,3-dihydroxypropyl hexadecanoate",M+H,331.284,330.277,Gold,Monoacylglycerols,Fatty acids,1-monoacylglycerols
1017551,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Fatty alcohols
1017974,Yes,"NCGC00186665-03!2,3-dihydroxypropyl hexadecanoate [IIN-based on: CCMSLIB00000849057]",[M+H]+,331.283,330.276,Bronze,Monoacylglycerols,Fatty acids,Monoacylglycerols
1018001,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,1-monoacylglycerols
1018130,Yes,"NCGC00186665-03!2,3-dihydroxypropyl hexadecanoate [IIN-based on: CCMSLIB00000849057]",[M+H]+,331.283,330.276,Bronze,Monoacylglycerols,Fatty acids,1-monoacylglycerols
1021348,Yes,NA,NA,NA,NA,NA,Dipeptides,Amino acids and Peptides,Peptides
102587,Yes,NA,NA,NA,NA,NA,Fatty alcohols,Fatty acids,Organosulfonic acids and derivatives
102591,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Benzene and substituted derivatives
102599,Yes,NA,NA,NA,NA,NA,Fatty alcohols,Fatty acids,Sulfonyls
102609,Yes,NA,NA,NA,NA,NA,Fatty alcohols,Fatty acids,Organosulfur compounds
102622,Yes,NA,NA,NA,NA,NA,Aminoacids,Alkaloids,Organophosphine oxides
102639,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Thioethers
102652,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Hydrazines and derivatives
102656,Yes,NA,NA,NA,NA,NA,Phenylethylamines,Alkaloids,Amino acids and derivatives
102672,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Thioethers
102757,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Amino acids and derivatives
102761,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Alkanolamines
102808,Yes,NA,NA,NA,NA,NA,Halogenated hydrocarbons,Fatty acids,Sulfones
1028994,Yes,NA,NA,NA,NA,NA,Wax monoesters,Amino acids and Peptides,Amino acids and derivatives
1029487,Yes,NA,NA,NA,NA,NA,Wax monoesters,Fatty acids,Alpha amino acid esters
1032003,Yes,NA,NA,NA,NA,NA,N-acyl amines,Alkaloids,Lipids and lipid-like molecules
1032208,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Long-chain fatty acids
103628,Yes,NA,NA,NA,NA,NA,Bisabolane sesquiterpenoids,Terpenoids,Benzene and substituted derivatives
104020,Yes,NA,NA,NA,NA,NA,NA,NA,NA
104023,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1040468,Yes,NA,NA,NA,NA,NA,Dipeptides,Amino acids and Peptides,Dipeptides
1040482,Yes,NA,NA,NA,NA,NA,Dipeptides,Amino acids and Peptides,Dipeptides
1041713,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,Alpha amino acids and derivatives
104830,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1060062,Yes,NA,NA,NA,NA,NA,Dipeptides,Alkaloids,Phenol ethers
1060220,Yes,NA,NA,NA,NA,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
1061256,Yes,Eicosanoids_11-HEPE_C20H30O3,M+NH4,336.253,318.22,Gold,Pyridine alkaloids,Alkaloids,Alpha amino acids and derivatives
1062618,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1062620,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1062626,Yes,NA,NA,NA,NA,NA,NA,NA,NA
106676,Yes,NA,NA,NA,NA,NA,NA,NA,NA
106905,Yes,NA,NA,NA,NA,NA,NA,NA,NA
108168,Yes,NA,NA,NA,NA,NA,NA,NA,NA
108221,Yes,NA,NA,NA,NA,NA,NA,NA,NA
108243,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1083702,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Heteroaromatic compounds
1084057,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Eicosanoids
1084088,Yes,NA,NA,NA,NA,NA,Labdane diterpenoids,Terpenoids,Diterpenoids
1084349,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Lineolic acids and derivatives
1084422,Yes,NA,NA,NA,NA,NA,Epoxy fatty acids,Fatty acids,Lineolic acids and derivatives
1087281,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,N-acyl amines
1088,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1089129,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,N-acyl amines
1089387,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,N-acyl amines
1089604,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,Fatty amides
1089628,Yes,NA,NA,NA,NA,NA,Primary amides,Fatty acids,Pyrrolidines
1089734,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,Fatty amides
1091501,Yes,NA,NA,NA,NA,NA,Primary amides,Fatty acids,Fatty amides
1092692,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,Fatty amides
109335,Yes,NA,NA,NA,NA,NA,Wax monoesters,Fatty acids,Monocarboxylic acids and derivatives
109354,Yes,NA,NA,NA,NA,NA,Simple coumarins,Shikimates and Phenylpropanoids,Pyranones and derivatives
109386,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Unsaturated fatty acids
109403,Yes,NA,NA,NA,NA,NA,Simple phenolic acids,Shikimates and Phenylpropanoids,Heteroaromatic compounds
109539,Yes,NA,NA,NA,NA,NA,Simple phenolic acids,Shikimates and Phenylpropanoids,Enoate esters
109585,Yes,NA,NA,NA,NA,NA,Hydrocarbons,Fatty acids,Organothiophosphorus compounds
109644,Yes,NA,NA,NA,NA,NA,Hydrocarbons,Fatty acids,Organothiophosphorus compounds
109663,Yes,NA,NA,NA,NA,NA,Phenazine alkaloids,Alkaloids,Benzenoids
109772,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Monocarboxylic acids and derivatives
109926,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Carboxylic acids
110258,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Organic sulfuric acids and derivatives
