Feature,Interest_512,Compound_Name,NPC_Class,NPC_Pathway,ClassyFire_Class
100392,Yes,NA,NA,NA,NA
100477,Yes,NA,NA,NA,NA
101068,Yes,NA,Aminoacids,Amino acids and Peptides,S-alkyl thiosulfates
1017306,Yes,"NCGC00186665-03!2,3-dihydroxypropyl hexadecanoate [IIN-based on: CCMSLIB00000849057]",Monoacylglycerols,Fatty acids,1-monoacylglycerols
1018001,Yes,NA,Monoacylglycerols,Fatty acids,1-monoacylglycerols
102587,Yes,NA,Fatty alcohols,Fatty acids,Organosulfonic acids and derivatives
102591,Yes,NA,Monoacylglycerols,Fatty acids,Benzene and substituted derivatives
1032003,Yes,NA,N-acyl amines,Alkaloids,Lipids and lipid-like molecules
1061256,Yes,Eicosanoids_11-HEPE_C20H30O3,Pyridine alkaloids,Alkaloids,Alpha amino acids and derivatives
1083702,Yes,NA,Polyamines,Alkaloids,Heteroaromatic compounds
1084349,Yes,NA,Monoacylglycerols,Fatty acids,Lineolic acids and derivatives
1084422,Yes,NA,Epoxy fatty acids,Fatty acids,Lineolic acids and derivatives
109585,Yes,NA,Hydrocarbons,Fatty acids,Organothiophosphorus compounds
1186810,Yes,Spectral Match to Trp-Phe from NIST14,Dipeptides,Amino acids and Peptides,Dipeptides
1188473,Yes,NA,Phenazine alkaloids,Alkaloids,Alkylarylthioethers
1188696,Yes,NA,Glycerophosphoethanolamines,Fatty acids,Dithiophosphate S-esters
1203541,Yes,NA,Pregnane steroids,Terpenoids,3-oxo delta-5-steroids
1205654,Yes,NA,Monoacylglycerols,Fatty acids,Lineolic acids and derivatives
1205937,Yes,"Spectral Match to Monolinolenin (9c,12c,15c) from NIST14",Monoacylglycerols,Fatty acids,1-monoacylglycerols
1206394,Yes,NA,Piperidine alkaloids,Amino acids and Peptides,Alpha amino acid amides
1222102,Yes,Cholic acid,Pregnane steroids,Terpenoids,3-oxo delta-4-steroids
1222456,Yes,NA,Androstane steroids,Terpenoids,Oxosteroids
1222508,Yes,NA,Cholestane steroids,Terpenoids,3-hydroxysteroids
1222722,Yes,Cholic acid,Pregnane steroids,Terpenoids,"Bile acids, alcohols and derivatives"
1223064,Yes,"""(4R)-4-((5S,7R,9S,10S,13R,14S,17R)-7-hydroxy-10,13-dimethyl-3-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholestane steroids,Terpenoids,"Bile acids, alcohols and derivatives"
123084,Yes,Spectral Match to L-Tryptophan from NIST14,Pyridine alkaloids,Alkaloids,Alpha amino acids
1234206,Yes,"""(R)-4-((3R,5R,6R,8S,9S,10R,13R,14S,17R)-3,6-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholestane steroids,Terpenoids,"Bile acids, alcohols and derivatives"
1237809,Yes,NA,N-acyl amines,Fatty acids,Semicarbazides
1237810,Yes,NA,Polyamines,Alkaloids,Dialkylthioethers
